,,,,,,,,,,,,,,,,,,,,,,
,Rundeck,0,-,-,-,x,x,-,,Automation service,,,,https://github.com/rundeck/rundeck,,,,,,,67,
,AspectJX,0,-,-,-,0,0,-,,Gradle plugin,,,,https://github.com/HujiangTechnology/gradle_plugin_android_aspectjx,,,,,,,0,
,Gradle Versions Plugin,0,-,-,-,0,0,-,,Gradle plugin,,,,https://github.com/ben-manes/gradle-versions-plugin,,,,,,,0,
,Shadow,x,-,-,-,x,x,-,,Gradle plugin,,,,https://github.com/johnrengelman/shadow,,,,,,,100,
,,,,,,,,,,,,,,,,,,,,,53,
,,,,,,,,,,,,,,,,,,,,,,
,Ruby,,,,,,,,,,,,,,,,,,,,,
,Rails,x,-,x,-,x,-,-,,Web framework,,,,https://github.com/rails/rails,,,,,,,100,
,Jekyll,0,-,x,-,x,-,-,,Static site generator,,,,https://github.com/jekyll/jekyll,,,,,,,67,
,Discourse,0,-,x,-,x,-,-,,Discussion platform (forums & mailing list etc),,,,https://github.com/discourse/discourse,,,,,,,67,
,Huginn,0,-,x,-,x,-,-,,Web automation system,,,,https://github.com/huginn/huginn,,,,,,,67,
,Fastlane,0,-,x,-,x,-,-,,Mobile app build/release automation,,,,https://github.com/fastlane/fastlane,,,,,,,67,
,Brew,x,-,x,-,x,-,-,,Package manager,,,,https://github.com/Homebrew/brew,,,,,,,100,
,,,,,,,,,,,,,,,,,,,,,78,
,,,,,,,,,,,,,,,,,,,,,,
,Swift,,,,,,,,,,,,,,,,,,,,,
,Alamofire,0,0,x,-,0,-,-,,HTTP Networking library,,,,https://github.com/Alamofire/Alamofire,,,,,,,25,
,Shadowsocksx Ng,0,0,0,-,0,-,-,,Encryption protocol,,,,https://github.com/shadowsocks/ShadowsocksX-NG,,,,,,,0,
,IINA,x,0,x,-,x,-,-,,Video player,,,,https://github.com/iina/iina,,,,,,,75,
,Charts,0,0,x,-,x,-,-,,Chart renderer,,,,https://github.com/danielgindi/Charts,,,,,,,50,
,Lottie,x,0,x,-,0,-,-,,Vector animation renderer,,,,https://github.com/airbnb/lottie-ios,,,,,,,50,
,Vapor,x,0,x,-,x,-,-,,Web framework,,,,https://github.com/vapor/vapor,,,,,,,75,
,ReactiveX,0,0,x,-,x,-,-,,Observer pattern framework,,,,https://github.com/ReactiveX/RxSwift,,,,,,,50,
,Swiftyjson,0,0,x,-,x,-,-,,JSON parser,,,,https://github.com/SwiftyJSON/SwiftyJSON,,,,,,,50,
,Hero,x,0,x,-,x,-,-,,UI transition library,,,,https://github.com/HeroTransitions/Hero,,,,,,,75,
,ReactiveCocoa,0,0,0,-,x,-,-,,UI library,,,,https://github.com/ReactiveCocoa/ReactiveCocoa,,,,,,,25,
,,,,,,,,,,,,,,,,,,,,,48,
,,,,,,,,,,,,,,,,,,,,,,
,Matlab,,,,,,,,,,,,,,,,,,,,,
,Deep photo style transfer,0,-,0,-,0,-,-,,Code for research paper. Transform images,,,,https://github.com/luanfujun/deep-photo-styletransfer,,,,,,,0,
,OpenFace,0,-,0,-,0,-,-,,Face & head pose detection,,,,https://github.com/TadasBaltrusaitis/OpenFace,,,,,,,0,
,VRN,0,-,0,-,0,-,-,,3D face construction from single image,,,,https://github.com/AaronJackson/vrn,,,,,,,0,
,DeepLearnToolbox,0,-,0,-,0,-,-,,Toolbox for deep learning,,,,https://github.com/rasmusbergpalm/DeepLearnToolbox,,,,,,,0,
,MTCNN,0,-,0,-,0,-,-,,Face detection,,,,https://github.com/kpzhang93/MTCNN_face_detection_alignment,,,,,,,0,
,Faster R-CNN,0,-,0,-,0,-,-,,Object detection,,,,https://github.com/ShaoqingRen/faster_rcnn,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,
,Fortran,,,,,,,,,,,,,,,,,,,,,
,OpenBLAS,0,-,0,0,-,-,-,,Linear algebra library,,,,https://github.com/xianyi/OpenBLAS,,,,,,,0,
,LAPACK,0,-,0,0,-,-,-,,Numerical linear algebra library,,,,https://github.com/Reference-LAPACK/lapack,,,,,,,0,
,PyMC2,0,-,0,0,-,-,-,,Statistics module for Python,,,,https://github.com/pymc-devs/pymc2,,,,,,,0,
,Fortran io,x,-,x,0,-,-,-,,MVC web library,,,,https://github.com/mapmeld/fortran-machine,,,,,,,67,
,WRF,x,-,x,0,-,-,-,,Weather research & forcasting,,,,https://github.com/wrf-model/WRF,,,,,,,67,
,Netlib-java,0,-,0,0,-,-,-,,Linear algebra library,,,,https://github.com/fommil/netlib-java,,,,,,,0,
,Elmer FEM,0,-,0,0,-,-,-,,Multiphysical simulation software,,,,https://github.com/ElmerCSC/elmerfem,,,,,,,0,
,stdlib,0,-,x,0,-,-,-,,Standard library for Fortran (community driven),,,,https://github.com/fortran-lang/stdlib,,,,,,,33,
,,,,,,,,,,,,,,,,,,,,,21,
,,,,,,,,,,,,,,,,,,,,,,
,R,,,,,,,,,,,,,,,,,,,,,
,ggplot2,0,-,0,0,x,x,-,,Graphics renderer,,,,https://github.com/tidyverse/ggplot2,,,,,,,40,
,shiny,0,-,0,0,x,x,-,,Web applications,,,,https://github.com/rstudio/shiny,,,,,,,40,
,dplyr,0,-,0,0,x,x,-,,Data manipulation,,,,https://github.com/tidyverse/dplyr,,,,,,,40,
,AnomalyDetection,0,-,0,0,0,0,-,,Anomaly detection,,,,https://github.com/twitter/AnomalyDetection,,,,,,,0,
,data.table,x,-,0,0,x,x,-,,Data manipulation,,,,https://github.com/Rdatatable/data.table,,,,,,,60,
,rmarkdown,0,-,0,0,0,0,-,,Data renderer,,,,https://github.com/rstudio/rmarkdown,,,,,,,0,
,devtools,0,-,0,0,0,0,-,,Development utilities,,,,https://github.com/r-lib/devtools,,,,,,,0,
,kniitr,0,-,0,0,0,0,-,,Literate programming engine,,,,https://github.com/yihui/knitr,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,23,
,,,,,,,,,,,,,,,,,,,,,,
,Perl,,,,,,,,,,,,,,,,,,,,,
,Diff So Fancy,0,0,0,-,0,0,0,,Diff renderer,,,,https://github.com/so-fancy/diff-so-fancy,,,,,,,0,
,Cloc,0,0,0,-,0,0,0,,Count lines of code,,,,https://github.com/AlDanial/cloc,,,,,,,0,
,Flamegraph,0,0,0,-,0,0,0,,Stack trace visualizer,,,,https://github.com/brendangregg/FlameGraph,,,,,,,0,
,Gitolite,0,0,0,-,0,0,0,,Git server host,,,,https://github.com/sitaramc/gitolite,,,,,,,0,
,MySQLTuner,0,0,0,-,0,0,0,,MySQL configuration editor,,,,https://github.com/major/MySQLTuner-perl,,,,,,,0,
,Nikto,0,0,0,-,0,0,0,,Web server vulnerability tester,,,,https://github.com/sullo/nikto,,,,,,,0,
,Expose,0,0,0,-,0,0,0,,Static site generator,,,,https://github.com/Jack000/Expose,,,,,,,0,
,Git-it,0,0,0,-,0,0,0,,Git education tool,,,,https://github.com/jlord/git-it-electron,,,"Dependency uses overload, doesn't count though",,,,0,
,rcm,0,0,0,-,0,0,0,,Dotfile management tool,,,,https://github.com/thoughtbot/rcm,,,,,,,0,
,pgBadger,0,0,0,-,0,0,0,,PostgreSQL log analyzer,,,,https://github.com/darold/pgbadger,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,
,Delphi/Object Pascal,,,,,,,,,,,,,,,,,,,,,
,rdpwrap,0,-,0,0,-,-,-,,Remote desktop host,,,,https://github.com/stascorp/rdpwrap,,,,,,,0,
,Cheat Engine,0,-,0,0,-,-,-,,Game modding tool,,,,https://github.com/cheat-engine/cheat-engine,,,,,,,0,
,HeidiSQL,0,-,x,0,-,-,-,,UI for managing MariaDB & MySQL & more ,,,,https://github.com/HeidiSQL/HeidiSQL,,,,,,,33,
,Inno Setup,0,-,0,0,-,-,-,,Windows program installer,,,,https://github.com/jrsoftware/issrc,,,,,,,0,
,Transmission Remote GUI,0,-,0,0,-,-,-,,BitTorrent client,,,,https://github.com/transmission-remote-gui/transgui,,,,,,,0,
,NodeMCU Flasher,0,-,0,0,-,-,-,,Firmware flash tool for NodeMCU,,,,https://github.com/nodemcu/nodemcu-flasher,,,,,,,0,
,Embarcadero Dev-C++,x,-,x,0,-,-,-,,C/C++ IDE,,,,https://github.com/Embarcadero/Dev-Cpp,,,,,,,67,
,PeaZip,0,-,0,0,-,-,-,,File archive utility,,,,https://github.com/peazip/PeaZip,,,,,,,0,
,Soldat,0,-,0,0,-,-,-,,Multiplayer action game,,,,https://github.com/Soldat/soldat,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,11,
,,,,,,,,,,,,,,,,,,,,,,
,Rust,,,,,,,,,,,,,,,,,,,,,
,Deno,0,0,x,-,0,-,-,,JavaScript/TypeScript runtime ,,,,https://github.com/denoland/deno,,,,,,,25,
,rust,x,x,x,-,x,-,-,,The rust language,,,,https://github.com/rust-lang/rust,,,,,,,100,
,Alactritty,x,x,x,-,x,-,-,,Terminal emulator,,,,https://github.com/alacritty/alacritty,,,,,,,100,
,Bat,0,0,0,-,0,-,-,,Replacement for `cat` (the shell command),,,,https://github.com/sharkdp/bat,,,,,,,0,
,Tauri,0,0,0,-,0,-,-,,Website building framework,,,,https://github.com/tauri-apps/tauri,,,,,,,0,
,Ripgrep,x,x,0,-,0,-,-,,Search tool similar to `grep`,,,,https://github.com/BurntSushi/ripgrep,,,,,,,50,
,Starship,0,0,0,-,0,-,-,,Shell prompt customizer,,,,https://github.com/starship/starship,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,39,
,,,,,,,,,,,,,,,,,,,,,,
,Kotlin,,,,,,,,,,,,,,,,,,,,,
,OkHttp,0,0,x,-,x,-,-,,HTTP Client,,,,https://github.com/square/okhttp,,,,,,,50,
,Kotlin,x,x,x,-,x,-,-,,The Kotlin language,,,,https://github.com/JetBrains/kotlin,,,,,,,100,
,Shadowsocks Android,x,0,x,-,x,-,-,,Shadowsocks client,,,,https://github.com/shadowsocks/shadowsocks-android,,,,,,,75,
,LeakCanary,x,x,0,-,x,-,-,,Memory leak detection library,,,,https://github.com/square/leakcanary,,,,,,,75,
,Google I/O Android App,0,0,0,-,x,-,-,,Developer conference app,,,,https://github.com/google/iosched,,,,,,,25,
,Material Dialogs,0,0,0,-,0,-,-,,Dialog UI Library,,,,https://github.com/afollestad/material-dialogs,,,,,,,0,
,FlexboxLayout,0,0,0,-,0,-,-,,UI Component,,,,https://github.com/google/flexbox-layout,,,,,,,0,
,Anko,x,0,x,-,x,-,-,,Android development utility,,,,https://github.com/Kotlin/anko,,,,,,,75,
,Tachiyomi,0,x,x,-,0,-,-,,Manga reader,,,,https://github.com/tachiyomiorg/tachiyomi,,,,,,,50,
,,,,,,,,,,,,,,,,,,,,,50,
,,,,,,,,,,,,,,,,,,,,,,
,Scala,,,,,,,,,,,,,,,,,,,,,
,Apache Spark,x,x,x,x,x,-,-,,Analytics engine,,,,https://github.com/apache/spark,,,,,,,100,
,Prisma,0,0,0,0,0,-,-,,Database toolkit,,,,https://github.com/prisma/prisma1,,,,,,,0,
,Scala,x,x,x,x,x,-,-,,The Scala language & standard library,,,,https://github.com/scala/scala,,,,,,,100,
,PredictionIO,0,0,0,0,0,-,-,,Machine learning framework,,,,https://github.com/apache/predictionio,,,,,,,0,
,Play Framework,x,0,0,0,0,-,-,,Web framework,,,,https://github.com/playframework/playframework,,,,,,,20,
,Akka,x,x,x,x,x,-,-,,Distributed app framework,,,,https://github.com/akka/akka,,,,,,,100,
,Lichess,x,x,0,0,x,-,-,,Chess website,,,,https://github.com/ornicar/lila,,,,,,,60,
,CMAK,x,0,0,0,0,-,-,,Kafka manager,,,,https://github.com/yahoo/CMAK,,,,,,,20,
,GitBucket,x,0,0,0,0,-,-,,Git server,,,,https://github.com/gitbucket/gitbucket,,,,,,,20,
,BFG Repo-Cleaner,0,0,0,0,0,-,-,,Git cleaner,,,,https://github.com/rtyley/bfg-repo-cleaner,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,42,
,,,,,,,,,,,,,,,,,,,,,,
,Haskell,,,,,,,,,,,,,,,,,,,,,
,ShellCheck,0,-,x,-,-,-,-,,Static analyzer for shell scripts,,,,https://github.com/koalaman/shellcheck,,,Only one instance EQ..,,,,50,
,Hasura GraphQL Engine,x,-,x,-,-,-,-,,GraphQL server,,,,https://github.com/hasura/graphql-engine,,,"MANY instance EQ.., some instance Ord",,,,100,
,Pandoc,0,-,x,-,-,-,-,,Document format converter,,,,https://github.com/jgm/pandoc,,,,,,,50,
,PostgREST,0,-,x,-,-,-,-,,Rest API for Postgres,,,,https://github.com/PostgREST/postgrest,,,,,,,50,
,Semantic,0,-,x,-,-,-,-,,Multi-language parser,,,,https://github.com/github/semantic,,,,,,,50,
,Purescript,0,-,x,-,-,-,-,,Programming language,,,,https://github.com/purescript/purescript,,,,,,,50,
,Elm,0,-,x,-,-,-,-,,Programming language,,,,https://github.com/elm/compiler,,,,,,,50,
,Haskell Dockerfile Linter,0,-,0,-,-,-,-,,Dockerfile linter,,,,https://github.com/hadolint/hadolint,,,,,,,0,
,Carp,x,-,x,-,-,-,-,,Programming language (Lisp),,,,https://github.com/carp-lang/Carp,,,,,,,100,
,Unison,x,-,x,-,-,-,-,,Programming language,,,,https://github.com/unisonweb/unison,,,,,,,100,
,,,,,,,,,,,,,,,,,,,,,60,
